fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_westk,results_de_la_fuenter,results_write_ins,results_kennedya,results_la_rivag,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_westk,results_absentee_de_la_fuenter,results_absentee_write_ins,results_absentee_kennedya,results_absentee_la_rivag,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
27085,McLeod,20933,0,28,28,Merged into voters' home precincts and released with cumulative results,100,20114,>98%,>98% reported,edison,2,all,,3348,,,6413,13986,292,58,47,40,41,45,9,2,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:36:08Z,36.17733,R+36,Trump +36,republican,36.17733,18807,38.2,18553,22.1,minnesota,2020-11-27T00:46:30.478791Z
27093,Meeker,13529,0,30,30,Merged into voters' home precincts and released with cumulative results,100,13136,>98%,>98% reported,edison,2,all,,2115,,,3867,9359,122,41,31,45,30,32,0,2,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:38:34Z,40.59428,R+41,Trump +41,republican,40.59428,12282,40,12214,15.92,minnesota,2020-11-27T00:46:30.478791Z
27095,Mille Lacs,14689,0,25,25,Merged into voters' home precincts and released with cumulative results,100,462,>98%,>98% reported,edison,6,all,,2361,,,4404,9952,181,31,25,36,28,23,5,4,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:39:05Z,37.76976,R+38,Trump +38,republican,37.76976,13017,35.6,13091,8.57,minnesota,2020-11-27T00:46:30.478791Z
27097,Morrison,19558,0,48,48,Merged into voters' home precincts and released with cumulative results,100,18838,>98%,>98% reported,edison,2,all,,3279,,,4367,14821,173,52,44,28,34,33,3,3,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:39:36Z,53.45127,R+53,Trump +53,republican,53.45127,17614,52.7,16714,23.97,minnesota,2020-11-27T00:46:30.478791Z
27099,Mower,19345,0,40,40,Merged into voters' home precincts and released with cumulative results,95,20341,95%,95% reported,edison,2,all,,3704,,,8899,10025,177,47,44,62,40,44,2,5,0,0,0,0,0,0,0,0,0,0,2020-11-25T15:20:47Z,5.82063,R+6,Trump +6,republican,5.82063,17715,7.8,18539,-22.61,minnesota,2020-11-27T00:46:30.478791Z
27101,Murray,4896,0,29,29,Merged into voters' home precincts and released with cumulative results,96,5103,96%,96% reported,edison,2,all,,1152,,,1449,3363,32,10,8,9,8,13,2,2,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:40:55Z,39.09314,R+39,Trump +39,republican,39.09314,4668,36,4767,7.22,minnesota,2020-11-27T00:46:30.478791Z
27103,Nicollet,19125,0,28,28,Merged into voters' home precincts and released with cumulative results,90,21211,90%,90% reported,edison,4,all,,3144,,,9622,9018,222,78,40,43,37,54,7,4,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:41:33Z,3.15817,D+3,Biden +3,democrat,-3.15817,18097,3,18357,-7.83,minnesota,2020-11-27T00:46:30.478791Z
27105,Nobles,8715,0,40,40,Merged into voters' home precincts and released with cumulative results,100,8708,>98%,>98% reported,edison,6,all,,2156,,,2933,5600,59,19,17,28,27,23,4,5,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:42:58Z,30.60241,R+31,Trump +31,republican,30.60241,8632,29.7,8520,9.25,minnesota,2020-11-27T00:46:30.478791Z
27107,Norman,3441,0,33,33,Merged into voters' home precincts and released with cumulative results,98,3500,98%,98% reported,edison,2,all,,633,,,1404,1953,31,10,18,6,8,8,3,0,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:43:29Z,15.95466,R+16,Trump +16,republican,15.95466,3261,13.3,3207,-10.79,minnesota,2020-11-27T00:46:30.478791Z
27109,Olmsted,91385,0,84,84,Merged into voters' home precincts and released with cumulative results,98,92950,98%,98% reported,edison,4,all,,20940,,,49491,39692,1078,263,189,188,159,300,11,14,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:44:08Z,10.72277,D+11,Biden +11,democrat,-10.72277,80129,-0.7,78316,-3.2,minnesota,2020-11-27T00:46:30.478791Z
27111,Otter Tail,36399,0,92,92,Merged into voters' home precincts and released with cumulative results,97,37700,97%,97% reported,edison,2,all,,8657,,,11958,23800,257,76,73,90,51,88,3,3,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:44:50Z,32.53386,R+33,Trump +33,republican,32.53386,32500,35.7,31670,21.14,minnesota,2020-11-27T00:46:30.478791Z
27113,Pennington,7277,0,31,31,Merged into voters' home precincts and released with cumulative results,100,7181,>98%,>98% reported,edison,4,all,,1380,,,2568,4532,103,12,16,19,7,14,3,3,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:45:16Z,26.98914,R+27,Trump +27,republican,26.98914,6715,27.6,6517,4.31,minnesota,2020-11-27T00:46:30.478791Z
27115,Pine,16001,0,48,48,Merged into voters' home precincts and released with cumulative results,100,14871,>98%,>98% reported,edison,2,all,,2577,,,5419,10256,168,51,23,25,26,29,3,1,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:46:12Z,30.22936,R+30,Trump +30,republican,30.22936,13811,26.1,13965,0.68,minnesota,2020-11-27T00:46:30.478791Z
27117,Pipestone,4940,0,22,22,Merged into voters' home precincts and released with cumulative results,100,4930,>98%,>98% reported,edison,6,all,,984,,,1306,3553,25,12,9,15,11,8,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:46:38Z,45.48583,R+45,Trump +45,republican,45.48583,4808,46,4646,23.7,minnesota,2020-11-27T00:46:30.478791Z
27119,Polk,15594,10731,82,82,Merged into voters' home precincts and released with cumulative results,96,16294,96%,96% reported,edison,4,all,,2832,,,5439,9865,123,29,36,39,28,26,4,5,4238,6308,70,20,25,23,22,17,3,5,2020-11-25T14:47:19Z,28.38271,R+28,Trump +28,republican,28.38271,14796,28.8,14693,5.73,minnesota,2020-11-27T00:46:30.478791Z
27121,Pope,7022,0,31,31,Merged into voters' home precincts and released with cumulative results,100,6959,>98%,>98% reported,edison,2,all,,1689,,,2477,4417,56,16,13,18,10,15,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:47:49Z,27.62746,R+28,Trump +28,republican,27.62746,6319,26.7,6246,2.58,minnesota,2020-11-27T00:46:30.478791Z
27123,Ramsey,295977,0,169,169,Merged into voters' home precincts and released with cumulative results,92,322228,92%,92% reported,edison,2,all,,61280,,,211620,77376,2865,1062,428,793,422,1141,88,182,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:48:27Z,45.35623,D+45,Biden +45,democrat,-45.35623,273143,-39.1,278822,-35.2,minnesota,2020-11-27T00:46:30.478791Z
