fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_westk,results_jorgensenj,results_collinsp,results_hawkinsh,results_carrollb,results_blankenshipd,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_westk,results_absentee_jorgensenj,results_absentee_collinsp,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
28069,Kemper,4732,0,14,14,None,100,4732,>98%,>98% reported,edison,10,unknown,,966,,,1787,2887,9,10,9,9,6,9,5,1,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:01Z,23.24598,D+23,Biden +23,democrat,-23.24598,4639,-22.6,5052,-28.7,mississippi,2020-11-19T00:42:46.792655Z
28071,Lafayette,23481,0,18,18,Merged into voters' home precincts and released with cumulative results,100,23481,>98%,>98% reported,edison,10,some,,2116,,,12949,10070,55,242,14,40,29,16,8,58,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:01Z,12.26098,R+12,Trump +12,republican,12.26098,19643,14.8,19505,15.3,mississippi,2020-11-19T00:42:46.792655Z
28073,Lamar,28526,0,23,23,Released as a separate subtotal at the end of tabulation,100,28526,>98%,>98% reported,edison,10,unknown,,946,,,20704,7340,66,264,19,32,29,21,10,41,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:01Z,46.84849,R+47,Trump +47,republican,46.84849,24592,55.1,24889,54.67,mississippi,2020-11-19T00:42:46.792655Z
28075,Lauderdale,31266,0,40,40,Merged into voters' home precincts and released with cumulative results,100,31266,>98%,>98% reported,edison,10,unknown,,2082,,,17967,12960,67,149,24,25,16,25,14,19,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:02Z,16.0142,R+16,Trump +16,republican,16.0142,29506,21.9,32777,14.91,mississippi,2020-11-19T00:42:46.792655Z
28077,Lawrence,6617,985,24,24,None,100,6547,>98%,>98% reported,edison,6,unknown,,602,,,4285,2260,19,19,5,8,5,11,1,4,551,426,2,3,0,1,0,1,1,0,2020-11-17T19:07:54Z,30.60299,R+31,Trump +31,republican,30.60299,6364,29.8,6698,25.74,mississippi,2020-11-19T00:42:46.792655Z
28079,Leake,9204,0,19,19,None,100,9209,>98%,>98% reported,edison,10,unknown,,646,,,5228,3897,23,19,8,6,4,14,1,4,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:04Z,14.4611,R+14,Trump +14,republican,14.4611,8449,14.2,8983,8.73,mississippi,2020-11-19T00:42:46.792655Z
28081,Lee,37003,0,36,36,Merged into voters' home precincts and released with cumulative results,95,38837,95%,95% reported,edison,4,unknown,,1452,,,24207,12189,116,292,32,44,32,30,12,49,0,0,0,0,0,0,0,0,0,0,2020-11-18T23:49:30Z,32.47845,R+32,Trump +32,republican,32.47845,32913,37,35306,27.9,mississippi,2020-11-19T00:42:46.792655Z
28083,Leflore,8178,0,18,18,None,100,8181,>98%,>98% reported,edison,6,none,,646,,,2623,5444,32,28,7,9,8,13,5,9,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:04Z,34.49499,D+34,Biden +34,democrat,-34.49499,11140,-41.1,12773,-43.31,mississippi,2020-11-19T00:42:46.792655Z
28085,Lincoln,16818,0,30,30,None,100,16818,>98%,>98% reported,edison,10,unknown,,1042,,,11596,5040,31,64,11,19,15,18,7,17,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:05Z,38.98204,R+39,Trump +39,republican,38.98204,15193,40.1,16414,32.7,mississippi,2020-11-19T00:42:46.792655Z
28087,Lowndes,27273,26993,20,20,None,100,27273,>98%,>98% reported,edison,10,unknown,,1206,,,13800,13087,71,181,21,32,19,20,9,33,13699,12913,71,179,19,32,19,20,8,33,2020-11-16T15:48:06Z,2.61431,R+3,Trump +3,republican,2.61431,25695,5.7,27158,0.48,mississippi,2020-11-19T00:42:46.792655Z
