fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
39021,Champaign,20003,0,27,28,Released as a separate subtotal as first report of the night,100,19369,>98%,>98% reported,edison,6,all,,9136,,,14589,5062,260,55,37,0,0,0,0,0,2020-11-18T22:21:07Z,47.62786,R+48,Trump +48,republican,47.62786,18243,44.1,18468,21.66,ohio,2020-11-19T00:43:36.073300Z
39023,Clark,64351,40125,83,90,Released as a separate subtotal as first report of the night,95,67994,95%,95% reported,edison,2,unknown,,33222,,,39032,24076,829,245,169,20858,18715,399,153,0,2020-11-18T19:31:00Z,23.24129,R+23,Trump +23,republican,23.24129,61893,19.2,64301,0.81,ohio,2020-11-19T00:43:36.073300Z
39025,Clermont,110710,0,166,166,Released as a separate subtotal as first report of the night,98,112998,98%,98% reported,edison,2,unknown,,46664,,,74570,34092,1513,271,264,0,0,0,0,0,2020-11-18T18:58:15Z,36.56219,R+37,Trump +37,republican,36.56219,99972,40.8,96525,34.97,ohio,2020-11-19T00:43:36.073300Z
39027,Clinton,20563,0,35,36,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,19796,>98%,>98% reported,edison,2,unknown,,8917,,,15488,4697,270,67,41,0,0,0,0,0,2020-11-18T22:12:20Z,52.47775,R+52,Trump +52,republican,52.47775,18766,52.1,18183,34.2,ohio,2020-11-19T00:43:36.073300Z
39029,Columbiana,49960,22098,87,87,Merged into voters' home precincts and released with cumulative results,100,49169,>98%,>98% reported,edison,6,all,,16355,,,35726,13359,607,162,106,13096,8655,207,84,56,2020-11-18T22:30:12Z,44.76982,R+45,Trump +45,republican,44.76982,46492,41.4,46199,11.75,ohio,2020-11-19T00:43:36.073300Z
39031,Coshocton,16348,11108,23,23,Released as a separate subtotal as first report of the night,100,16348,>98%,>98% reported,edison,6,all,,9803,,,11982,4057,221,59,29,7549,3352,146,44,17,2020-11-16T15:48:17Z,48.47688,R+48,Trump +48,republican,48.47688,15659,43.2,15784,9.19,ohio,2020-11-19T00:43:36.073300Z
39033,Crawford,20222,0,35,35,Merged into voters' home precincts and released with cumulative results,100,20192,>98%,>98% reported,edison,6,all,,10312,,,15043,4831,268,50,30,0,0,0,0,0,2020-11-16T15:48:17Z,50.49946,R+50,Trump +50,republican,50.49946,19329,46.5,19847,21.89,ohio,2020-11-19T00:43:36.073300Z
39035,Cuyahoga,627160,586535,888,975,Released as a separate subtotal as first report of the night,85,734525,85%,85% reported,edison,4,all,,431608,,,202699,416176,4593,2031,1661,188776,390122,4246,1844,1547,2020-11-18T19:02:36Z,34.03868,D+34,Biden +34,democrat,-34.03868,608879,-35.2,645262,-39.77,ohio,2020-11-19T00:43:36.073300Z
39037,Darke,27160,0,40,43,Merged into voters' home precincts and released with cumulative results,100,26418,>98%,>98% reported,edison,2,unknown,,10557,,,22003,4731,331,62,33,0,0,0,0,0,2020-11-18T18:53:43Z,63.59352,R+64,Trump +64,republican,63.59352,25601,60.7,25430,44.36,ohio,2020-11-19T00:43:36.073300Z
39039,Defiance,19032,13089,33,33,Merged into voters' home precincts and released with cumulative results,99,19261,>98%,>98% reported,edison,4,unknown,,9581,,,12778,5870,264,77,43,8042,4839,137,48,23,2020-11-16T15:48:20Z,36.29676,R+36,Trump +36,republican,36.29676,18349,34.4,18339,13.33,ohio,2020-11-19T00:43:36.073300Z
39041,Delaware,126318,0,165,165,Released as a separate subtotal as first report of the night,100,109108,>98%,>98% reported,edison,2,unknown,,62675,,,66356,57735,1630,293,304,0,0,0,0,0,2020-11-18T18:59:20Z,6.82484,R+7,Trump +7,republican,6.82484,105639,15.8,98899,23.16,ohio,2020-11-19T00:43:36.073300Z
39043,Erie,39523,0,57,62,Released as a separate subtotal as first report of the night,88,44922,88%,88% reported,edison,2,unknown,,22709,,,21724,17142,505,152,,0,0,0,0,,2020-11-16T15:48:21Z,11.59325,R+12,Trump +12,republican,11.59325,37862,9.5,39500,-12.26,ohio,2020-11-19T00:43:36.073300Z
39045,Fairfield,81564,54802,105,107,Merged into voters' home precincts and released with cumulative results,98,83121,98%,98% reported,edison,2,all,,43430,,,49714,30634,998,218,,30013,24117,539,133,,2020-11-16T15:48:22Z,23.39267,R+23,Trump +23,republican,23.39267,73554,26.4,72220,15.43,ohio,2020-11-19T00:43:36.073300Z
39047,Fayette,12305,7133,25,25,Released as a separate subtotal as first report of the night,100,12305,>98%,>98% reported,edison,6,all,,5552,,,9220,2911,129,32,13,4916,2140,53,17,7,2020-11-16T15:48:23Z,51.27184,R+51,Trump +51,republican,51.27184,11232,46.8,11038,21.48,ohio,2020-11-19T00:43:36.073300Z
39049,Franklin,632532,0,844,884,Released as a separate subtotal as first report of the night,95,662500,95%,95% reported,edison,4,unknown,,374078,,,211237,409144,7718,2169,2264,0,0,0,0,0,2020-11-18T18:50:36Z,31.28806,D+31,Biden +31,democrat,-31.28806,587524,-25.8,572188,-22.79,ohio,2020-11-19T00:43:36.073300Z
39051,Fulton,22801,0,27,29,Released as a separate subtotal as first report of the night,100,22401,>98%,>98% reported,edison,2,unknown,,8866,,,15731,6664,299,71,36,0,0,0,0,0,2020-11-18T19:33:34Z,39.7658,R+40,Trump +40,republican,39.7658,21353,35.8,21310,12.51,ohio,2020-11-19T00:43:36.073300Z
39053,Gallia,13799,0,24,26,Released as a separate subtotal as first report of the night,100,13619,>98%,>98% reported,edison,2,unknown,,5408,,,10645,2990,132,32,0,0,0,0,0,0,2020-11-18T22:22:44Z,55.47503,R+55,Trump +55,republican,55.47503,13004,55.3,12622,25.3,ohio,2020-11-19T00:43:36.073300Z
39055,Geauga,55381,0,78,78,Other,100,55381,>98%,>98% reported,edison,6,unknown,,25718,,,33581,20980,524,132,164,0,0,0,0,0,2020-11-16T15:48:25Z,22.75329,R+23,Trump +23,republican,22.75329,50662,25,51113,21.38,ohio,2020-11-19T00:43:36.073300Z
39057,Greene,88643,0,136,146,Other,100,87708,>98%,>98% reported,edison,2,unknown,,43531,,,52072,34798,1458,264,51,0,0,0,0,0,2020-11-18T19:02:46Z,19.48716,R+19,Trump +19,republican,19.48716,82937,23.6,83626,21,ohio,2020-11-19T00:43:36.073300Z
39059,Guernsey,18264,0,34,35,Merged into voters' home precincts and released with cumulative results,100,17430,>98%,>98% reported,edison,2,unknown,,8078,,,13407,4577,177,67,36,0,0,0,0,0,2020-11-18T19:24:55Z,48.34647,R+48,Trump +48,republican,48.34647,16647,42.6,16849,9.16,ohio,2020-11-19T00:43:36.073300Z
39061,Hamilton,430929,245471,560,563,Released as a separate subtotal as first report of the night,90,477539,90%,90% reported,edison,4,unknown,,183454,,,177886,246266,5211,1389,177,73000,169543,2161,664,103,2020-11-18T18:56:18Z,15.86804,D+16,Biden +16,democrat,-15.86804,409109,-10.3,418894,-6.35,ohio,2020-11-19T00:43:36.073300Z
