fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_warnerm,results_gaded,results_absentee_warnerm,results_absentee_gaded,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
51035,Carroll,15201,5486,17,18,Released as a precinct at the end of tabulation,100,14655,>98%,>98% reported,edison,2,unknown,,1199,,,3591,11610,1953,3533,2020-11-14T16:41:57Z,52.75311,R+53,Gade +53,republican,virginia,2020-11-16T00:45:25.100219Z
51036,Charles City,4404,2835,4,4,Released separately AFTER election night,89,4971,89%,89% reported,edison,2,unknown,,611,,,2700,1704,2049,786,2020-11-14T16:41:57Z,22.6158,D+23,Warner +23,democrat,virginia,2020-11-16T00:45:25.100219Z
51037,Charlotte,6155,2927,7,8,None,97,6324,97%,97% reported,edison,4,all,,425,,,2522,3633,1596,1331,2020-11-14T16:41:58Z,18.05037,R+18,Gade +18,republican,virginia,2020-11-16T00:45:25.100219Z
51540,Charlottesville,24081,17799,9,10,Released as a precinct in the middle of the night,91,26517,91%,91% reported,edison,2,unknown,,3257,,,20672,3409,16213,1586,2020-11-14T16:41:21Z,71.68722,D+72,Warner +72,democrat,virginia,2020-11-16T00:45:25.100219Z
51550,Chesapeake,126283,90164,61,64,"As a precinct in the FIRST cumulative report, along with regular precincts",95,132992,95%,95% reported,edison,2,none,,15226,,,68129,58154,54418,35746,2020-11-14T16:41:21Z,7.89893,D+8,Warner +8,democrat,virginia,2020-11-16T00:45:25.100219Z
51041,Chesterfield,200226,142095,81,81,Released as a precinct at the end of tabulation,96,208224,96%,96% reported,edison,2,unknown,,17975,,,107568,92658,85134,56961,2020-11-14T16:41:45Z,7.44659,D+7,Warner +7,democrat,virginia,2020-11-16T00:45:25.100219Z
51043,Clarke,9266,5745,8,8,Released as a precinct at the end of tabulation,100,8619,>98%,>98% reported,edison,2,unknown,,1052,,,4052,5214,3159,2586,2020-11-14T16:41:46Z,12.54047,R+13,Gade +13,republican,virginia,2020-11-16T00:45:25.100219Z
51570,Colonial Heights,8931,5640,5,6,Released as a separate subtotal at the end of tabulation,99,9026,>98%,>98% reported,edison,2,unknown,,1209,,,3143,5788,2173,3467,2020-11-14T16:40:58Z,29.61594,R+30,Gade +30,republican,virginia,2020-11-16T00:45:25.100219Z
51580,Covington,2543,1085,5,6,None,100,2554,>98%,>98% reported,edison,4,unknown,,181,,,1157,1386,626,459,2020-11-14T16:40:59Z,9.00511,R+9,Gade +9,republican,virginia,2020-11-16T00:45:25.100219Z
51045,Craig,3138,1107,9,9,Merged into voters' home precincts and released with cumulative results,100,2996,>98%,>98% reported,edison,2,unknown,,2794,,,757,2381,371,736,2020-11-14T16:41:46Z,51.75271,R+52,Gade +52,republican,virginia,2020-11-16T00:45:25.100219Z
51047,Culpeper,26714,14840,16,16,"As a precinct in the FIRST cumulative report, along with regular precincts",100,23318,>98%,>98% reported,edison,4,unknown,,2558,,,11123,15591,8141,6699,2020-11-14T16:41:46Z,16.72531,R+17,Gade +17,republican,virginia,2020-11-16T00:45:25.100219Z
51049,Cumberland,5264,2460,5,6,Released as a separate subtotal in the middle of the tabulation,97,5404,97%,97% reported,edison,4,some,,345,,,2317,2947,1441,1019,2020-11-14T16:41:46Z,11.96809,R+12,Gade +12,republican,virginia,2020-11-16T00:45:25.100219Z
51590,Danville,19199,11729,15,17,Released as a precinct in the middle of the night,81,23811,81%,81% reported,edison,4,unknown,,2090,,,12519,6680,7923,3806,2020-11-14T16:40:59Z,30.41304,D+30,Warner +30,democrat,virginia,2020-11-16T00:45:25.100219Z
51051,Dickenson,7194,3471,10,11,None,98,7376,98%,98% reported,edison,4,all,,793,,,2052,5142,1269,2202,2020-11-14T16:41:46Z,42.95246,R+43,Gade +43,republican,virginia,2020-11-16T00:45:25.100219Z
51053,Dinwiddie,14859,8185,13,14,None,100,14555,>98%,>98% reported,edison,4,all,,1542,,,6445,8414,4344,3841,2020-11-14T16:41:46Z,13.25123,R+13,Gade +13,republican,virginia,2020-11-16T00:45:25.100219Z
