fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_blankenshipd,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
12031,Duval,492820,0,199,199,Released as a precinct as first report of the night,100,491584,>98%,>98% reported,edison,6,all,,411733,,,233762,252556,4788,77,772,328,319,218,0,0,0,0,0,0,0,0,2020-11-15T16:11:51Z,3.81356,D+4,Biden +4,democrat,-3.81356,436573,1.4,411848,3.61,florida,2020-11-16T00:42:13.216499Z
12033,Escambia,170372,0,80,80,Released as a precinct as first report of the night,92,184979,92%,92% reported,edison,4,some,,132013,,,96674,70929,2146,33,256,137,105,92,0,0,0,0,0,0,0,0,2020-11-15T16:11:51Z,15.11105,R+15,Trump +15,republican,15.11105,154172,20.3,148502,20.56,florida,2020-11-16T00:42:13.216499Z
12035,Flagler,71846,0,25,25,Released as a precinct as first report of the night,100,69764,>98%,>98% reported,edison,2,unknown,,48915,,,43039,28148,359,152,69,29,30,20,0,0,0,0,0,0,0,0,2020-11-14T16:39:49Z,20.72628,R+21,Trump +21,republican,20.72628,57987,20.4,50595,7.44,florida,2020-11-16T00:42:13.216499Z
12037,Franklin,6857,5127,8,8,Released as a precinct as first report of the night,100,6851,>98%,>98% reported,edison,6,all,,4651,,,4675,2118,27,10,12,8,4,3,3252,1828,18,8,10,5,4,2,2020-11-14T16:39:50Z,37.29036,R+37,Trump +37,republican,37.29036,6059,39.3,5474,31.51,florida,2020-11-16T00:42:13.216499Z
12039,Gadsden,23800,18024,25,25,Released as a precinct as first report of the night,100,23783,>98%,>98% reported,edison,6,all,,21954,,,7465,16152,96,39,21,10,8,9,5144,12772,51,29,14,5,5,4,2020-11-14T16:39:51Z,36.5,D+37,Biden +37,democrat,-36.5,22214,-37.3,22499,-40.62,florida,2020-11-16T00:42:13.216499Z
12041,Gilchrist,9702,6034,10,10,Released as a precinct as first report of the night,100,9212,>98%,>98% reported,edison,2,some,,5958,,,7895,1700,61,20,13,2,6,5,4710,1324,0,0,0,0,0,0,2020-11-14T16:39:53Z,63.85281,R+64,Trump +64,republican,63.85281,8472,62.3,7909,50.98,florida,2020-11-16T00:42:13.216499Z
12043,Glades,5201,0,13,13,Released as a precinct as first report of the night,100,4762,>98%,>98% reported,edison,4,some,,2314,,,3781,1384,21,10,4,1,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:53Z,46.08729,R+46,Trump +46,republican,46.08729,4382,39.4,3989,18.58,florida,2020-11-16T00:42:13.216499Z
12045,Gulf,8172,0,10,10,Released as a precinct as first report of the night,100,8170,>98%,>98% reported,edison,6,all,,7363,,,6113,1985,48,9,5,0,6,6,0,0,0,0,0,0,0,0,2020-11-14T16:39:54Z,50.51395,R+51,Trump +51,republican,50.51395,7331,49.2,7108,41.94,florida,2020-11-16T00:42:13.216499Z
12047,Hamilton,5838,4032,8,8,Merged into voters' home precincts and released with cumulative results,100,5832,>98%,>98% reported,edison,6,all,,4475,,,3815,1963,33,9,8,2,6,2,2656,1337,20,7,5,2,5,0,2020-11-14T16:39:56Z,31.72319,R+32,Trump +32,republican,31.72319,5491,28,5407,16.83,florida,2020-11-16T00:42:13.216499Z
12049,Hardee,8485,4917,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8475,>98%,>98% reported,edison,6,all,,6306,,,6122,2298,40,,8,6,10,1,3652,1212,40,,4,3,5,1,2020-11-14T16:39:56Z,45.06777,R+45,Trump +45,republican,45.06777,7645,40.5,7226,30.9,florida,2020-11-16T00:42:13.216499Z
12051,Hendry,12954,10116,10,10,Released as a separate subtotal as first report of the night,100,12944,>98%,>98% reported,edison,6,all,,9245,,,7904,4929,65,17,13,8,11,7,6101,3932,43,10,10,7,7,6,2020-11-14T16:39:57Z,22.96588,R+23,Trump +23,republican,22.96588,11182,14.1,10185,5.93,florida,2020-11-16T00:42:13.216499Z
12053,Hernando,109176,82840,32,32,Released as a separate subtotal as first report of the night,100,109176,>98%,>98% reported,edison,6,all,,64893,,,70321,37446,685,235,148,44,62,235,50470,31603,415,151,93,34,47,27,2020-11-14T16:39:58Z,30.11193,R+30,Trump +30,republican,30.11193,94651,28.7,83667,8.5,florida,2020-11-16T00:42:13.216499Z
12055,Highlands,52167,39872,23,25,Released as a separate subtotal as first report of the night,98,53000,98%,98% reported,edison,4,all,,42875,,,34873,16938,223,,53,24,28,28,25633,14011,138,,32,14,20,24,2020-11-15T16:16:47Z,34.37997,R+34,Trump +34,republican,34.37997,46011,31.8,42444,23.01,florida,2020-11-16T00:42:13.216499Z
12057,Hillsborough,711990,603967,390,390,Released as a precinct as first report of the night,100,709040,>98%,>98% reported,edison,6,unknown,,541850,,,327398,376367,5665,,1187,529,574,270,263524,334308,4165,,907,404,435,224,2020-11-15T16:16:47Z,6.87777,D+7,Biden +7,democrat,-6.87777,603890,-6.8,542102,-6.69,florida,2020-11-16T00:42:13.216499Z
12059,Holmes,9077,5634,8,8,Released as a precinct as first report of the night,100,9072,>98%,>98% reported,edison,6,unknown,,6853,,,8079,924,48,10,9,1,2,4,4915,719,0,0,0,0,0,0,2020-11-14T16:40:01Z,78.8256,R+79,Trump +79,republican,78.8256,8556,77.5,8274,68.35,florida,2020-11-16T00:42:13.216499Z
