fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_simmonsj,results_pierceb,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_simmonsj,results_absentee_pierceb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
40125,Pottawatomie,28185,8466,26,26,Released as a separate subtotal as first report of the night,100,28185,>98%,>98% reported,edison,10,unknown,,5714,,,20240,7275,431,113,76,50,4805,3489,113,21,21,17,2020-11-24T13:22:23Z,45.99965,R+46,Trump +46,republican,45.99965,25452,46.5,23438,38.66,oklahoma,2020-11-29T00:49:41.097Z
40127,Pushmataha,4739,1244,13,13,Released as a separate subtotal as first report of the night,100,4739,>98%,>98% reported,edison,10,unknown,,925,,,4016,668,33,6,7,9,959,273,7,1,2,2,2020-11-24T13:22:28Z,70.64782,R+71,Trump +71,republican,70.64782,4483,63.2,4130,49.49,oklahoma,2020-11-29T00:49:41.097Z
40129,Roger Mills,1834,424,9,9,Released as a separate subtotal as first report of the night,100,1834,>98%,>98% reported,edison,10,unknown,,458,,,1629,168,24,7,3,3,361,50,7,3,2,1,2020-11-24T13:22:34Z,79.66194,R+80,Trump +80,republican,79.66194,1759,79.4,1674,67.5,oklahoma,2020-11-29T00:49:41.097Z
40131,Rogers,44553,13821,36,36,Released as a separate subtotal as first report of the night,100,44553,>98%,>98% reported,edison,10,unknown,,9670,,,34031,9589,655,114,90,74,8966,4595,180,14,32,34,2020-11-24T13:22:37Z,54.8605,R+55,Trump +55,republican,54.8605,40862,56.3,36701,50.15,oklahoma,2020-11-29T00:49:41.097Z
40133,Seminole,8337,2058,14,14,Released as a separate subtotal as first report of the night,100,8337,>98%,>98% reported,edison,10,unknown,,1477,,,6011,2150,109,40,19,8,1201,818,29,4,3,3,2020-11-24T13:22:42Z,46.31162,R+46,Trump +46,republican,46.31162,8037,44.1,7456,30.26,oklahoma,2020-11-29T00:49:41.097Z
40135,Sequoyah,15386,2762,26,26,Released as a separate subtotal as first report of the night,100,15386,>98%,>98% reported,edison,10,unknown,,3320,,,12113,3035,152,42,23,21,1827,899,26,3,6,1,2020-11-24T13:22:44Z,59.00169,R+59,Trump +59,republican,59.00169,14437,54.2,13771,39.1,oklahoma,2020-11-29T00:49:41.097Z
40137,Stephens,19057,4850,28,28,Released as a separate subtotal as first report of the night,100,19057,>98%,>98% reported,edison,10,unknown,,3352,,,15560,3154,224,58,27,34,3478,1281,65,11,4,11,2020-11-24T13:22:49Z,65.09944,R+65,Trump +65,republican,65.09944,17904,62,16847,53.24,oklahoma,2020-11-29T00:49:41.097Z
40139,Texas,5521,1583,11,11,Released as a separate subtotal as first report of the night,100,5521,>98%,>98% reported,edison,10,unknown,,1739,,,4505,894,89,12,10,11,1218,326,26,6,3,4,2020-11-24T13:22:52Z,65.40482,R+65,Trump +65,republican,65.40482,5780,65.1,5792,70.23,oklahoma,2020-11-29T00:49:41.097Z
40141,Tillman,2708,743,9,9,Released as a separate subtotal as first report of the night,100,2708,>98%,>98% reported,edison,10,unknown,,752,,,2076,597,24,7,3,1,542,194,4,3,0,0,2020-11-24T13:22:55Z,54.61595,R+55,Trump +55,republican,54.61595,2706,47.6,2721,33.41,oklahoma,2020-11-29T00:49:41.097Z
40143,Tulsa,266678,73817,262,262,Released as a precinct as first report of the night,100,266678,>98%,>98% reported,edison,10,unknown,,34395,,,150574,108996,4859,1074,722,453,26759,45406,1153,167,210,122,2020-11-24T13:22:59Z,15.59109,R+16,Trump +16,republican,15.59109,247054,22.8,227806,27.36,oklahoma,2020-11-29T00:49:41.097Z
40145,Wagoner,35338,10763,32,32,Released as a separate subtotal as first report of the night,100,35338,>98%,>98% reported,edison,10,unknown,,4986,,,26165,8464,503,96,64,46,6723,3883,106,22,19,10,2020-11-24T13:23:01Z,50.09055,R+50,Trump +50,republican,50.09055,31300,52,28691,45.69,oklahoma,2020-11-29T00:49:41.097Z
40147,Washington,23501,6268,23,23,Released as a separate subtotal as first report of the night,100,23501,>98%,>98% reported,edison,10,unknown,,5606,,,17076,5790,445,90,58,42,3445,2664,119,14,14,12,2020-11-24T13:23:05Z,48.02349,R+48,Trump +48,republican,48.02349,22224,48.5,21200,47.81,oklahoma,2020-11-29T00:49:41.097Z
40149,Washita,4777,978,12,12,Released as a separate subtotal as first report of the night,100,4777,>98%,>98% reported,edison,10,unknown,,954,,,4086,598,59,14,11,9,758,201,14,0,2,3,2020-11-24T13:23:09Z,73.01654,R+73,Trump +73,republican,73.01654,4631,70.5,4316,61.91,oklahoma,2020-11-29T00:49:41.097Z
