fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
48383,Reagan,1069,857,5,5,Released as a precinct as first report of the night,91,1175,91%,91% reported,edison,2,unknown,,756,,,893,154,13,9,,721,119,10,7,,2020-11-16T15:48:37Z,69.13003,R+69,Cornyn +69,republican,texas,2020-11-23T00:47:50.530696Z
48385,Real,1939,1614,5,6,Released as a precinct as first report of the night,98,1985,98%,98% reported,edison,2,unknown,,1530,,,1626,286,19,8,,1352,243,15,4,,2020-11-16T15:48:37Z,69.10779,R+69,Cornyn +69,republican,texas,2020-11-23T00:47:50.530696Z
48387,Red River,5732,4217,17,20,Released as a precinct as first report of the night,94,6094,94%,94% reported,edison,2,unknown,,5311,,,4452,1191,58,31,,3213,958,30,16,,2020-11-19T21:51:02Z,56.89114,R+57,Cornyn +57,republican,texas,2020-11-23T00:47:50.530696Z
48389,Reeves,3436,2549,10,12,Released as a precinct as first report of the night,83,4139,83%,83% reported,edison,2,unknown,,2241,,,1983,1337,73,43,,1411,1072,42,24,,2020-11-19T21:51:02Z,18.80093,R+19,Cornyn +19,republican,texas,2020-11-23T00:47:50.530696Z
48391,Refugio,3172,2393,9,11,Released as a precinct as first report of the night,91,3481,91%,91% reported,edison,2,unknown,,2120,,,2072,1023,52,24,1,1580,765,34,14,0,2020-11-16T15:48:38Z,33.07062,R+33,Cornyn +33,republican,texas,2020-11-23T00:47:50.530696Z
48393,Roberts,545,360,4,5,Released as a precinct as first report of the night,76,720,76%,76% reported,edison,2,unknown,,399,,,526,15,4,0,,348,9,3,0,,2020-11-16T15:48:38Z,93.76147,R+94,Cornyn +94,republican,texas,2020-11-23T00:47:50.530696Z
48395,Robertson,7988,6449,14,16,Released as a precinct as first report of the night,93,8605,93%,93% reported,edison,2,unknown,,7781,,,5590,2244,118,36,,4550,1792,82,25,,2020-11-19T21:51:01Z,41.88783,R+42,Cornyn +42,republican,texas,2020-11-23T00:47:50.530696Z
48397,Rockwall,57704,52391,18,18,Released as a precinct as first report of the night,100,50672,>98%,>98% reported,edison,2,unknown,,36546,,,39824,16600,928,323,29,36012,15338,745,267,29,2020-11-16T15:48:40Z,40.24678,R+40,Cornyn +40,republican,texas,2020-11-23T00:47:50.530696Z
48399,Runnels,4328,3020,9,11,Released as a precinct as first report of the night,97,4467,97%,97% reported,edison,2,unknown,,,,,3722,515,66,25,,2618,356,37,9,,2020-11-19T21:51:00Z,74.09889,R+74,Cornyn +74,republican,texas,2020-11-23T00:47:50.530696Z
48401,Rusk,21177,16025,20,23,Released as a precinct as first report of the night,94,22430,94%,94% reported,edison,4,some,,18369,,,16367,4455,277,78,,12281,3519,179,46,,2020-11-19T21:50:59Z,56.2497,R+56,Cornyn +56,republican,texas,2020-11-23T00:47:50.530696Z
48403,Sabine,5435,4269,8,9,Released as a precinct as first report of the night,99,5492,>98%,>98% reported,edison,2,some,,4544,,,4678,688,46,23,,3666,553,34,16,,2020-11-19T21:50:59Z,73.41306,R+73,Cornyn +73,republican,texas,2020-11-23T00:47:50.530696Z
48405,San Augustine,3877,2837,10,12,Released as a precinct as first report of the night,89,4358,89%,89% reported,edison,2,unknown,,3105,,,2898,928,39,12,,2048,758,22,9,,2020-11-19T21:50:58Z,50.81248,R+51,Cornyn +51,republican,texas,2020-11-23T00:47:50.530696Z
48407,San Jacinto,12363,10187,11,12,Released as a precinct as first report of the night,100,12214,>98%,>98% reported,edison,2,unknown,,9360,,,9808,2268,224,63,,8068,1897,175,47,,2020-11-19T21:50:58Z,60.98843,R+61,Cornyn +61,republican,texas,2020-11-23T00:47:50.530696Z
48409,San Patricio,25316,21558,23,26,Released as a precinct as first report of the night,100,25280,>98%,>98% reported,edison,6,all,,19161,,,16174,8494,487,161,,13775,7292,364,127,,2020-11-19T21:50:57Z,30.33655,R+30,Cornyn +30,republican,texas,2020-11-23T00:47:50.530696Z
48411,San Saba,2500,1785,3,4,Released as a precinct as first report of the night,90,2783,90%,90% reported,edison,2,unknown,,1940,,,2218,270,9,3,,1567,215,2,1,,2020-11-16T15:48:42Z,77.92,R+78,Cornyn +78,republican,texas,2020-11-23T00:47:50.530696Z
48413,Schleicher,1132,890,4,5,Released as a precinct as first report of the night,90,1251,90%,90% reported,edison,2,unknown,,1035,,,927,191,10,4,,733,146,8,3,,2020-11-19T21:50:57Z,65.01767,R+65,Cornyn +65,republican,texas,2020-11-23T00:47:50.530696Z
48415,Scurry,5796,4591,10,12,Released as a precinct as first report of the night,93,6246,93%,93% reported,edison,2,unknown,,4983,,,4870,805,89,32,,3886,630,53,22,,2020-11-19T21:50:56Z,70.13458,R+70,Cornyn +70,republican,texas,2020-11-23T00:47:50.530696Z
48417,Shackelford,1607,1231,7,8,Released as a precinct as first report of the night,87,1857,87%,87% reported,edison,2,unknown,,1206,,,1475,115,14,3,0,1138,85,5,3,0,2020-11-16T15:47:50Z,84.62974,R+85,Cornyn +85,republican,texas,2020-11-23T00:47:50.530696Z
48419,Shelby,9992,6912,13,15,Released as a precinct as first report of the night,91,10952,91%,91% reported,edison,2,unknown,,7145,,,7868,2022,75,27,,5356,1493,48,15,,2020-11-19T21:50:56Z,58.50681,R+59,Cornyn +59,republican,texas,2020-11-23T00:47:50.530696Z
48421,Sherman,986,678,4,5,Released as a precinct as first report of the night,73,1349,73%,73% reported,edison,2,unknown,,974,,,888,88,7,2,1,604,69,4,0,1,2020-11-16T15:47:53Z,81.1359,R+81,Cornyn +81,republican,texas,2020-11-23T00:47:50.530696Z
48423,Smith,99886,86677,67,74,Released as a precinct as first report of the night,100,99521,>98%,>98% reported,edison,6,all,,90067,,,69574,28385,1484,443,,60615,24637,1095,330,,2020-11-19T21:50:55Z,41.23601,R+41,Cornyn +41,republican,texas,2020-11-23T00:47:50.530696Z
48425,Somervell,4920,4247,4,4,Released as a precinct as first report of the night,100,4811,>98%,>98% reported,edison,2,unknown,,3539,,,4103,712,78,27,,3543,622,61,21,,2020-11-19T21:50:54Z,68.92276,R+69,Cornyn +69,republican,texas,2020-11-23T00:47:50.530696Z
48427,Starr,14750,12079,10,10,Released as a precinct as first report of the night,84,17600,84%,84% reported,edison,2,unknown,,12032,,,5845,8161,357,387,,4651,6836,287,305,,2020-11-19T21:50:53Z,15.70169,D+16,Hegar +16,democrat,texas,2020-11-23T00:47:50.530696Z
48429,Stephens,3735,2969,7,9,Released as a precinct as first report of the night,91,4087,91%,91% reported,edison,2,unknown,,3737,,,3312,374,32,17,,2622,311,23,13,,2020-11-19T21:50:53Z,78.66131,R+79,Cornyn +79,republican,texas,2020-11-23T00:47:50.530696Z
48431,Sterling,621,473,3,4,Released as a precinct as first report of the night,75,823,75%,75% reported,edison,2,unknown,,408,,,567,47,2,5,,437,33,1,2,,2020-11-16T15:48:00Z,83.73591,R+84,Cornyn +84,republican,texas,2020-11-23T00:47:50.530696Z
48433,Stonewall,714,714,3,4,Released as a precinct as first report of the night,78,911,78%,78% reported,edison,2,unknown,,437,,,586,122,3,3,,586,122,3,3,,2020-11-16T15:48:01Z,64.98599,R+65,Cornyn +65,republican,texas,2020-11-23T00:47:50.530696Z
48435,Sutton,1530,1309,4,5,Released as a precinct as first report of the night,79,1936,79%,79% reported,edison,2,unknown,,1807,,,1204,305,10,10,1,1033,262,5,8,1,2020-11-16T15:48:02Z,58.75817,R+59,Cornyn +59,republican,texas,2020-11-23T00:47:50.530696Z
48437,Swisher,2318,1742,7,9,Released as a precinct as first report of the night,87,2676,87%,87% reported,edison,2,unknown,,1756,,,1795,464,44,15,,1373,335,26,8,,2020-11-19T21:50:52Z,57.42019,R+57,Cornyn +57,republican,texas,2020-11-23T00:47:50.530696Z
