fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13071,Colquitt,16083,10642,19,19,None,100,16083,>98%,>98% reported,edison,6,unknown,,9626,,,4187,11777,119,,3076,7497,69,,2020-11-16T15:48:35Z,47.19269,R+47,Trump +47,republican,47.19269,13624,47.2,13328,39.54,georgia,2020-11-20T00:43:08.139660Z
13073,Columbia,80579,61676,47,47,Merged into voters' home precincts and released with cumulative results,100,80579,>98%,>98% reported,edison,10,unknown,,44339,,,29236,50013,1330,,24194,36666,816,,2020-11-16T15:48:35Z,25.78463,R+26,Trump +26,republican,25.78463,65207,37.1,58923,42.96,georgia,2020-11-20T00:43:08.139660Z
13075,Cook,7035,5357,8,8,Released as a separate subtotal as first report of the night,100,7035,>98%,>98% reported,edison,10,unknown,,5070,,,2059,4900,76,,1520,3787,50,,2020-11-16T15:48:35Z,40.3838,R+40,Trump +40,republican,40.3838,6080,39.9,6031,31.39,georgia,2020-11-20T00:43:08.139660Z
13077,Coweta,76799,52677,26,26,None,100,76799,>98%,>98% reported,edison,10,unknown,,37867,,,24210,51501,1088,,18866,33224,587,,2020-11-16T15:48:36Z,35.53562,R+36,Trump +36,republican,35.53562,62210,41.7,55555,44.07,georgia,2020-11-20T00:43:08.139660Z
13079,Crawford,6102,4664,6,6,Released as a separate subtotal as first report of the night,100,6102,>98%,>98% reported,edison,10,unknown,,4342,,,1615,4428,59,,1351,3275,38,,2020-11-16T15:48:36Z,46.09964,R+46,Trump +46,republican,46.09964,5176,42.8,5133,32.38,georgia,2020-11-20T00:43:08.139660Z
13081,Crisp,8052,6468,5,5,None,100,8052,>98%,>98% reported,edison,10,all,,6558,,,2986,4987,66,13,2409,4005,43,11,2020-11-16T15:48:36Z,24.85097,R+25,Trump +25,republican,24.85097,7549,22.7,7396,13.72,georgia,2020-11-20T00:43:08.139660Z
13083,Dade,7434,5122,7,7,Merged into voters' home precincts and released with cumulative results,100,7434,>98%,>98% reported,edison,10,all,,4573,,,1261,6066,107,,1017,4049,56,,2020-11-16T15:47:44Z,64.63546,R+65,Trump +65,republican,64.63546,6361,64.2,6020,50.83,georgia,2020-11-20T00:43:08.139660Z
13085,Dawson,16081,13425,3,3,Released as a separate subtotal as first report of the night,100,16081,>98%,>98% reported,edison,10,unknown,,10581,,,2486,13398,197,,2232,11059,134,,2020-11-16T15:47:47Z,67.85648,R+68,Trump +68,republican,67.85648,11820,71.5,10244,74.25,georgia,2020-11-20T00:43:08.139660Z
13089,DeKalb,370711,322398,191,191,Released with cumulative results periodically election night,100,370675,>98%,>98% reported,edison,10,unknown,,261315,,,308140,58369,4202,,273297,46040,3061,,2020-11-16T15:47:50Z,67.3762,D+67,Biden +67,democrat,-67.3762,317849,-62.9,306265,-56.76,georgia,2020-11-20T00:43:08.139660Z
13087,Decatur,11627,9336,9,9,Merged into voters' home precincts and released with cumulative results,100,11627,>98%,>98% reported,edison,10,unknown,,9618,,,4780,6758,89,,3984,5283,69,,2020-11-16T15:47:49Z,17.01213,R+17,Trump +17,republican,17.01213,10317,18.4,10485,11.76,georgia,2020-11-20T00:43:08.139660Z
