fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36089,Saint Lawrence,35519,0,66,81,Merged into voters' home precincts AFTER election night,82,43412,82%,82% reported,edison,2,unknown,,,,,13036,21862,352,138,131,,0,0,0,0,0,,2020-11-11T03:25:05Z,24.84867,R+25,Trump +25,republican,24.84867,39158,8.8,37191,-16.71,new-york,2020-11-12T00:35:44.859320Z
36091,Saratoga,107583,0,165,196,Merged into voters' home precincts AFTER election night,84,127785,84%,84% reported,edison,4,unknown,,,,,49697,55248,1472,390,464,312,0,0,0,0,0,0,2020-11-11T03:25:06Z,5.15974,R+5,Trump +5,republican,5.15974,114094,3.2,105510,-2.44,new-york,2020-11-12T00:35:44.859320Z
36093,Schenectady,60591,0,48,60,Merged into voters' home precincts AFTER election night,80,75354,80%,80% reported,edison,2,unknown,,,,,31685,27544,793,278,291,,0,0,0,0,0,,2020-11-11T03:25:07Z,6.83435,D+7,Biden +7,democrat,-6.83435,67280,-7.1,64933,-15.83,new-york,2020-11-12T00:35:44.859320Z
36095,Schoharie,13374,0,20,23,Merged into voters' home precincts AFTER election night,85,15736,85%,85% reported,edison,2,unknown,,,,,4006,9010,238,55,65,,0,0,0,0,0,,2020-11-11T03:25:08Z,37.41588,R+37,Trump +37,republican,37.41588,14050,32.7,13207,15.45,new-york,2020-11-12T00:35:44.859320Z
36097,Schuyler,8246,0,16,19,Merged into voters' home precincts AFTER election night,84,9825,84%,84% reported,edison,2,unknown,,,,,2858,5181,113,45,23,26,0,0,0,0,0,0,2020-11-11T03:25:10Z,28.17123,R+28,Trump +28,republican,28.17123,8772,22.3,8146,7.45,new-york,2020-11-12T00:35:44.859320Z
36099,Seneca,12954,0,23,27,Merged into voters' home precincts AFTER election night,83,15536,83%,83% reported,edison,2,unknown,,,,,5076,7582,158,57,81,,0,0,0,0,0,,2020-11-11T03:25:11Z,19.34538,R+19,Trump +19,republican,19.34538,13980,11,13266,-9.08,new-york,2020-11-12T00:35:44.859320Z
36085,Staten Island,178751,0,255,289,Merged into voters' home precincts AFTER election night,88,202691,88%,88% reported,edison,2,unknown,,,,,67223,110094,719,504,211,,0,0,0,0,0,,2020-11-11T03:25:53Z,23.98364,R+24,Trump +24,republican,23.98364,180960,15.1,154176,-2.57,new-york,2020-11-12T00:35:44.859320Z
36101,Steuben,38797,0,70,85,Merged into voters' home precincts AFTER election night,82,47042,82%,82% reported,edison,2,unknown,,,,,11299,26781,473,116,128,,0,0,0,0,0,,2020-11-11T03:25:12Z,39.90515,R+40,Trump +40,republican,39.90515,42002,34.1,38531,16.01,new-york,2020-11-12T00:35:44.859320Z
36103,Suffolk,601261,0,829,1052,Merged into voters' home precincts AFTER election night,79,763004,79%,79% reported,edison,4,none,,,,,259463,333617,3578,1496,1961,1146,0,0,0,0,0,0,2020-11-11T03:25:13Z,12.33308,R+12,Trump +12,republican,12.33308,681254,6.8,594266,-3.69,new-york,2020-11-12T00:35:44.859320Z
36105,Sullivan,26931,0,59,73,Merged into voters' home precincts AFTER election night,80,33550,80%,80% reported,edison,2,unknown,,,,,10995,15555,207,86,88,,0,0,0,0,0,,2020-11-11T03:25:14Z,16.93216,R+17,Trump +17,republican,16.93216,29955,11.2,28415,-9.02,new-york,2020-11-12T00:35:44.859320Z
36107,Tioga,20555,0,34,41,Merged into voters' home precincts AFTER election night,82,24975,82%,82% reported,edison,2,unknown,,,,,6724,13292,354,64,77,44,0,0,0,0,0,0,2020-11-11T03:25:15Z,31.9533,R+32,Trump +32,republican,31.9533,22299,25.7,21589,14.76,new-york,2020-11-12T00:35:44.859320Z
36109,Tompkins,33015,0,44,63,Merged into voters' home precincts AFTER election night,69,47799,69%,69% reported,edison,2,unknown,,,,,22624,9640,388,258,105,,0,0,0,0,0,,2020-11-11T03:25:17Z,39.32758,D+39,Biden +39,democrat,-39.32758,42678,-43.4,39781,-40.56,new-york,2020-11-12T00:35:44.859320Z
36111,Ulster,77667,0,137,168,Merged into voters' home precincts AFTER election night,81,95525,81%,81% reported,edison,2,unknown,,,,,42606,33580,735,458,288,,0,0,0,0,0,,2020-11-11T03:25:18Z,11.62141,D+12,Biden +12,democrat,-11.62141,85290,-11,78315,-22.86,new-york,2020-11-12T00:35:44.859320Z
36113,Warren,27625,0,15,19,Merged into voters' home precincts AFTER election night,79,35177,79%,79% reported,edison,2,unknown,,,,,11811,15200,338,152,124,,0,0,0,0,0,,2020-11-11T03:25:19Z,12.26787,R+12,Trump +12,republican,12.26787,31408,8.5,29578,-2.32,new-york,2020-11-12T00:35:44.859320Z
36115,Washington,23607,0,43,50,Merged into voters' home precincts AFTER election night,86,27471,86%,86% reported,edison,2,unknown,,,,,8537,14577,289,106,98,,0,0,0,0,0,,2020-11-11T03:25:20Z,25.58563,R+26,Trump +26,republican,25.58563,24528,18.4,23095,-1.9,new-york,2020-11-12T00:35:44.859320Z
36117,Wayne,37425,0,56,67,Merged into voters' home precincts AFTER election night,84,44449,84%,84% reported,edison,2,unknown,,,,,12799,23734,573,149,170,,0,0,0,0,0,,2020-11-11T03:25:21Z,29.21844,R+29,Trump +29,republican,29.21844,39687,25,37547,9.12,new-york,2020-11-12T00:35:44.859320Z
36119,Westchester,350749,0,942,942,Merged into voters' home precincts AFTER election night,56,630000,56%,56% reported,edison,2,none,,,,,220963,126013,1953,892,928,0,0,0,0,0,0,0,2020-11-11T03:25:18Z,27.07064,D+27,Biden +27,democrat,-27.07064,420655,-33.7,388447,-25.14,new-york,2020-11-12T00:35:44.859320Z
36121,Wyoming,17162,0,35,40,Merged into voters' home precincts AFTER election night,89,19374,89%,89% reported,edison,2,unknown,,,,,3840,12969,228,51,74,,0,0,0,0,0,,2020-11-11T03:25:19Z,53.1931,R+53,Trump +53,republican,53.1931,17298,49.4,16335,28.69,new-york,2020-11-12T00:35:44.859320Z
36123,Yates,8817,0,14,18,Merged into voters' home precincts AFTER election night,78,11274,78%,78% reported,edison,2,unknown,,,,,3046,5552,143,32,44,,0,0,0,0,0,,2020-11-11T03:25:20Z,28.42237,R+28,Trump +28,republican,28.42237,10066,19.9,9442,3.28,new-york,2020-11-12T00:35:44.859320Z
