fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hagertyb,results_bradshawm,results_mcleode,results_faparusiy,results_morgank,results_henleyr,results_stansberrye,results_grunauj,results_hilld,results_jamesa,results_hoopers,results_absentee_hagertyb,results_absentee_bradshawm,results_absentee_mcleode,results_absentee_faparusiy,results_absentee_morgank,results_absentee_henleyr,results_absentee_stansberrye,results_absentee_grunauj,results_absentee_hilld,results_absentee_jamesa,results_absentee_hoopers,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
47131,Obion,12863,0,11,12,None,87,14780,87%,87% reported,edison,2,unknown,,7731,,,10236,2247,24,27,12,49,108,28,34,8,90,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:29Z,62.10837,R+62,Hagerty +62,republican,tennessee,2020-11-14T00:45:46.362289Z
47133,Overton,9253,0,9,9,Other,97,9542,97%,97% reported,edison,2,unknown,,5765,,,7346,1699,39,21,25,35,18,12,15,13,30,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:29Z,61.02886,R+61,Hagerty +61,republican,tennessee,2020-11-14T00:45:46.362289Z
47135,Perry,3204,0,10,10,None,93,3440,93%,93% reported,edison,2,unknown,,1838,,,2617,517,8,3,9,17,9,6,2,4,12,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:30Z,65.54307,R+66,Hagerty +66,republican,tennessee,2020-11-14T00:45:46.362289Z
47137,Pickett,2781,0,8,9,Released as a separate subtotal as first report of the night,92,3033,92%,92% reported,edison,2,unknown,,1656,,,2256,474,9,5,7,9,4,7,3,5,2,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:32Z,64.07767,R+64,Hagerty +64,republican,tennessee,2020-11-14T00:45:46.362289Z
47139,Polk,8148,0,9,9,Merged into voters' home precincts and released with cumulative results,97,8400,97%,97% reported,edison,2,unknown,,3504,,,6620,1401,36,18,12,16,19,2,10,6,8,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:34Z,64.05253,R+64,Hagerty +64,republican,tennessee,2020-11-14T00:45:46.362289Z
47141,Putnam,31998,0,22,22,Released as a separate subtotal as first report of the night,95,33722,95%,95% reported,edison,2,unknown,,20215,,,22969,8239,154,137,114,123,43,41,43,47,88,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:35Z,46.03413,R+46,Hagerty +46,republican,tennessee,2020-11-14T00:45:46.362289Z
47143,Rhea,12986,0,12,12,Released as a separate subtotal as first report of the night,98,13297,98%,98% reported,edison,2,unknown,,7235,,,10603,2093,55,26,43,49,27,18,32,18,22,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:34Z,65.53211,R+66,Hagerty +66,republican,tennessee,2020-11-14T00:45:46.362289Z
47145,Roane,25267,18510,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",98,25914,98%,98% reported,edison,6,all,,17291,,,19005,5448,169,76,116,100,81,34,53,133,52,13445,4545,128,37,77,66,52,21,28,80,31,2020-11-11T03:25:36Z,53.65496,R+54,Hagerty +54,republican,tennessee,2020-11-14T00:45:46.362289Z
47147,Robertson,32290,0,18,18,Released separately at end; NOT included in cumulative results,99,32585,>98%,>98% reported,edison,2,unknown,,17777,,,23875,7529,195,103,121,108,58,58,49,50,144,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:37Z,50.62248,R+51,Hagerty +51,republican,tennessee,2020-11-14T00:45:46.362289Z
47149,Rutherford,138469,116127,28,28,Released as a precinct as first report of the night,96,143888,96%,96% reported,edison,6,all,,92338,,,80516,53643,1053,679,575,439,244,223,235,304,558,66627,46294,812,513,410,334,183,156,175,219,404,2020-11-11T03:25:39Z,19.40723,R+19,Hagerty +19,republican,tennessee,2020-11-14T00:45:46.362289Z
