fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48411,San Saba,2602,1870,3,4,Released as a precinct as first report of the night,93,2783,93%,93% reported,edison,2,unknown,,1940,,,2308,287,7,0,,1638,225,7,0,,2020-11-24T13:26:51Z,77.67102,R+78,Trump +78,republican,77.67102,2357,73.5,2259,70.03,texas,2020-11-25T00:44:10.486132Z
48413,Schleicher,1159,909,4,5,Released as a precinct as first report of the night,93,1251,93%,93% reported,edison,2,unknown,,1035,,,940,211,6,2,,739,165,3,2,,2020-11-24T13:26:51Z,62.89905,R+63,Trump +63,republican,62.89905,1059,57.9,1017,55.65,texas,2020-11-25T00:44:10.486132Z
48415,Scurry,5869,4639,10,12,Released as a precinct as first report of the night,94,6246,94%,94% reported,edison,2,unknown,,4983,,,4983,818,53,15,,3945,649,34,11,,2020-11-24T13:26:51Z,70.96609,R+71,Trump +71,republican,70.96609,5312,69.2,5027,65.37,texas,2020-11-25T00:44:10.486132Z
48417,Shackelford,1628,1250,7,8,Released as a precinct as first report of the night,88,1857,88%,88% reported,edison,2,unknown,,1206,,,1484,130,10,4,0,1145,99,3,3,0,2020-11-24T13:26:52Z,83.16953,R+83,Trump +83,republican,83.16953,1504,84.8,1363,79.75,texas,2020-11-25T00:44:10.486132Z
48419,Shelby,10084,6974,13,15,Released as a precinct as first report of the night,92,10952,92%,92% reported,edison,2,unknown,,7145,,,7975,2068,37,4,,5398,1552,22,2,,2020-11-24T13:26:52Z,58.57795,R+59,Trump +59,republican,58.57795,9086,59.7,9284,49.08,texas,2020-11-25T00:44:10.486132Z
48421,Sherman,991,684,4,5,Released as a precinct as first report of the night,73,1349,73%,73% reported,edison,2,unknown,,974,,,886,91,9,5,,601,74,6,3,,2020-11-24T13:26:52Z,80.222,R+80,Trump +80,republican,80.222,935,76,1038,75.82,texas,2020-11-25T00:44:10.486132Z
48423,Smith,100075,86842,67,74,Released as a precinct as first report of the night,100,99521,>98%,>98% reported,edison,6,all,,90067,,,69080,29615,1126,254,,60102,25706,838,196,,2020-11-24T13:26:52Z,39.43542,R+39,Trump +39,republican,39.43542,84768,43.2,79601,45.07,texas,2020-11-25T00:44:10.486132Z
48425,Somervell,4940,4268,4,4,Released as a precinct as first report of the night,100,4811,>98%,>98% reported,edison,2,unknown,,3539,,,4099,768,56,10,7,3543,672,39,9,5,2020-11-24T13:26:52Z,67.42915,R+67,Trump +67,republican,67.42915,3897,68.4,3538,63.82,texas,2020-11-25T00:44:10.486132Z
48427,Starr,17525,14281,10,10,Released as a precinct as first report of the night,100,17600,>98%,>98% reported,edison,2,unknown,,12032,,,8247,9123,92,63,,6515,7636,74,56,,2020-11-24T13:26:50Z,4.99857,D+5,Biden +5,democrat,-4.99857,11740,-60.2,11883,-73.32,texas,2020-11-25T00:44:10.486132Z
48429,Stephens,3800,3017,8,9,Released as a precinct as first report of the night,93,4087,93%,93% reported,edison,2,unknown,,3737,,,3385,397,16,2,,2678,330,8,1,,2020-11-24T13:26:52Z,78.63158,R+79,Trump +79,republican,78.63158,3470,77.4,3412,70.84,texas,2020-11-25T00:44:10.486132Z
