fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
42021,Cambria,70765,0,120,125,Merged into voters' home precincts AFTER election night,100,70400,>98%,>98% reported,edison,4,some,,4526,,,21749,48092,759,165,0,0,0,0,2020-11-10T18:32:46Z,37.22603,R+37,Trump +37,republican,37.22603,63589,36.8,60526,18.03,pennsylvania,2020-11-10T20:53:04.412711Z
42023,Cameron,2440,0,9,10,Merged into voters' home precincts AFTER election night,100,2434,>98%,>98% reported,edison,6,none,,235,,,634,1771,29,6,0,0,0,0,2020-11-04T21:16:50Z,46.59836,R+47,Trump +47,republican,46.59836,2208,47.9,2111,30.08,pennsylvania,2020-11-10T20:53:04.412711Z
42025,Carbon,33018,9138,50,51,Merged into voters' home precincts and released with cumulative results,100,32591,>98%,>98% reported,edison,4,unknown,,2334,,,10990,21607,421,0,5893,3146,99,0,2020-11-06T20:50:38Z,32.15519,R+32,Trump +32,republican,32.15519,28993,33.8,25581,7.52,pennsylvania,2020-11-10T20:53:04.412711Z
42027,Centre,77769,0,76,87,Merged into voters' home precincts and released with cumulative results,100,77000,>98%,>98% reported,edison,4,unknown,,6518,,,40049,36366,1065,289,0,0,0,0,2020-11-09T22:12:39Z,4.73582,D+5,Biden +5,democrat,-4.73582,77307,-2.3,69626,-0.25,pennsylvania,2020-11-10T20:53:04.412711Z
42029,Chester,310650,117736,228,230,Merged into voters' home precincts and released with cumulative results,100,311000,>98%,>98% reported,edison,4,some,,26734,,,179065,126844,3515,1226,94401,22406,929,0,2020-11-07T01:42:19Z,16.81024,D+17,Biden +17,democrat,-16.81024,272998,-9.4,251973,0.21,pennsylvania,2020-11-10T20:53:04.412711Z
42031,Clarion,19234,0,38,41,Merged into voters' home precincts and released with cumulative results,100,19300,>98%,>98% reported,edison,4,some,,1514,,,4615,14363,235,21,0,0,0,0,2020-11-04T21:16:50Z,50.68109,R+51,Trump +51,republican,50.68109,17660,47,16186,35.66,pennsylvania,2020-11-10T20:53:04.412711Z
42033,Clearfield,39124,0,68,70,Merged into voters' home precincts and released with cumulative results,100,38815,>98%,>98% reported,edison,4,unknown,,2733,,,9598,28984,542,0,0,0,0,0,2020-11-05T21:20:39Z,49.55015,R+50,Trump +50,republican,49.55015,34550,48.4,31967,28.86,pennsylvania,2020-11-10T20:53:04.412711Z
42035,Clinton,17636,0,33,34,Released with cumulative results periodically election night,100,17435,>98%,>98% reported,edison,4,unknown,,925,,,5498,11889,221,28,0,0,0,0,2020-11-10T18:38:46Z,36.23838,R+36,Trump +36,republican,36.23838,15505,34,13265,11.83,pennsylvania,2020-11-10T20:53:04.412711Z
42037,Columbia,30669,0,39,42,Merged into voters' home precincts and released with cumulative results,99,30800,>98%,>98% reported,edison,4,all,,2053,,,10289,19752,528,100,0,0,0,0,2020-11-05T22:06:39Z,30.85526,R+31,Trump +31,republican,30.85526,28506,31.8,25623,12.88,pennsylvania,2020-11-10T20:53:04.412711Z
42039,Crawford,41150,0,64,68,Merged into voters' home precincts and released with cumulative results,97,42463,97%,97% reported,edison,4,none,,3675,,,12584,27990,513,63,0,0,0,0,2020-11-06T18:22:38Z,37.43864,R+37,Trump +37,republican,37.43864,37813,37.1,35388,19.83,pennsylvania,2020-11-10T20:53:04.412711Z
