fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sasseb,results_janicekc,results_siadekg,results_write_ins,results_absentee_sasseb,results_absentee_janicekc,results_absentee_siadekg,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
31071,Garfield,1009,0,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",92,1098,92%,92% reported,edison,2,unknown,,302,,,868,91,50,,0,0,0,,2020-11-21T00:00:43Z,77.00694,R+77,Sasse +77,republican,nebraska,2020-11-21T00:45:42.185439Z
31073,Gosper,1070,0,4,4,Merged into voters' home precincts and released with cumulative results,95,1131,95%,95% reported,edison,2,unknown,,282,,,900,111,59,,0,0,0,,2020-11-16T15:47:44Z,73.73832,R+74,Sasse +74,republican,nebraska,2020-11-21T00:45:42.185439Z
31075,Grant,360,0,1,1,Merged into voters' home precincts AFTER election night,79,454,79%,79% reported,edison,2,unknown,,133,,,321,14,25,,0,0,0,,2020-11-16T15:47:45Z,82.22222,R+82,Sasse +82,republican,nebraska,2020-11-21T00:45:42.185439Z
31077,Greeley,1160,0,4,5,Released as a precinct at the end of tabulation,88,1323,88%,88% reported,edison,2,unknown,,282,,,938,166,56,,0,0,0,,2020-11-16T15:47:45Z,66.55172,R+67,Sasse +67,republican,nebraska,2020-11-21T00:45:42.185439Z
31079,Hall,22900,0,25,27,Released as a precinct at the end of tabulation,93,24707,93%,93% reported,edison,2,unknown,,9026,,,16231,5180,1489,,0,0,0,,2020-11-16T15:47:46Z,48.25764,R+48,Sasse +48,republican,nebraska,2020-11-21T00:45:42.185439Z
31081,Hamilton,5166,0,11,12,Released as a precinct as first report of the night,92,5604,92%,92% reported,edison,2,unknown,,5243,,,4114,678,374,,0,0,0,,2020-11-21T00:00:43Z,66.51181,R+67,Sasse +67,republican,nebraska,2020-11-21T00:45:42.185439Z
31083,Harlan,1842,0,8,9,Released separately AFTER election night,90,2052,90%,90% reported,edison,2,unknown,,466,,,1529,208,105,,0,0,0,,2020-11-16T15:47:47Z,71.71553,R+72,Sasse +72,republican,nebraska,2020-11-21T00:45:42.185439Z
31085,Hayes,510,0,4,4,Released separately AFTER election night,84,604,84%,84% reported,edison,2,unknown,,277,,,457,30,23,,0,0,0,,2020-11-16T15:47:47Z,83.72549,R+84,Sasse +84,republican,nebraska,2020-11-21T00:45:42.185439Z
31087,Hitchcock,1432,0,4,5,Released as a precinct as first report of the night,86,1671,86%,86% reported,edison,2,unknown,,448,,,1179,144,109,,0,0,0,,2020-11-16T15:47:48Z,72.27654,R+72,Sasse +72,republican,nebraska,2020-11-21T00:45:42.185439Z
31089,Holt,5141,0,13,14,Released as a precinct as first report of the night,90,5732,90%,90% reported,edison,2,unknown,,1792,,,4165,603,373,,0,0,0,,2020-11-16T15:47:49Z,69.28613,R+69,Sasse +69,republican,nebraska,2020-11-21T00:45:42.185439Z
31091,Hooker,414,0,1,1,Merged into voters' home precincts and released with cumulative results,89,467,89%,89% reported,edison,2,unknown,,109,,,349,48,17,,0,0,0,,2020-11-16T15:47:49Z,72.70531,R+73,Sasse +73,republican,nebraska,2020-11-21T00:45:42.185439Z
31093,Howard,3313,0,9,9,Released as a separate subtotal as first report of the night,99,3353,>98%,>98% reported,edison,2,unknown,,934,,,2660,446,207,,0,0,0,,2020-11-16T15:47:50Z,66.82765,R+67,Sasse +67,republican,nebraska,2020-11-21T00:45:42.185439Z
31095,Jefferson,3619,0,10,11,None,92,3913,92%,92% reported,edison,2,unknown,,1011,,,2764,664,191,,0,0,0,,2020-11-16T15:47:50Z,58.02708,R+58,Sasse +58,republican,nebraska,2020-11-21T00:45:42.185439Z
31097,Johnson,2118,0,5,6,Released as a precinct as first report of the night,91,2340,91%,91% reported,edison,2,unknown,,685,,,1576,417,125,,0,0,0,,2020-11-16T15:47:51Z,54.72144,R+55,Sasse +55,republican,nebraska,2020-11-21T00:45:42.185439Z
31099,Kearney,3422,0,11,12,Released as a precinct as first report of the night,93,3692,93%,93% reported,edison,2,unknown,,765,,,2790,412,220,,0,0,0,,2020-11-16T15:47:51Z,69.49153,R+69,Sasse +69,republican,nebraska,2020-11-21T00:45:42.185439Z
31101,Keith,4162,0,11,12,Merged into voters' home precincts and released with cumulative results,92,4528,92%,92% reported,edison,2,unknown,,1515,,,3355,553,254,,0,0,0,,2020-11-16T15:47:52Z,67.3234,R+67,Sasse +67,republican,nebraska,2020-11-21T00:45:42.185439Z
31103,Keya Paha,502,0,3,3,Released as a precinct as first report of the night,86,581,86%,86% reported,edison,2,unknown,,301,,,427,41,34,,0,0,0,,2020-11-16T15:47:52Z,76.89243,R+77,Sasse +77,republican,nebraska,2020-11-21T00:45:42.185439Z
31105,Kimball,1814,0,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",96,1884,96%,96% reported,edison,2,unknown,,544,,,1458,244,112,,0,0,0,,2020-11-21T00:00:42Z,66.92393,R+67,Sasse +67,republican,nebraska,2020-11-21T00:45:42.185439Z
