fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_perdued,results_ossoffj,results_hazels,results_write_ins,results_absentee_perdued,results_absentee_ossoffj,results_absentee_hazels,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
13025,Brantley,7616,5475,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",98,7746,98%,98% reported,edison,10,unknown,,3280,,,6812,688,116,,4881,524,70,,2020-11-20T21:28:15Z,80.40966,R+80,Perdue +80,republican,georgia,2020-11-21T00:45:09.985364Z
13027,Brooks,6976,5024,7,7,Released as a precinct as first report of the night,98,7100,98%,98% reported,edison,10,all,,5648,,,4250,2607,119,,2843,2098,83,,2020-11-20T21:28:59Z,23.55218,R+24,Perdue +24,republican,georgia,2020-11-21T00:45:09.985364Z
13029,Bryan,21163,17639,10,10,Released as a precinct in the middle of the night,99,21340,>98%,>98% reported,edison,10,unknown,,11968,,,14067,6497,599,,11545,5641,453,,2020-11-20T01:36:51Z,35.76998,R+36,Perdue +36,republican,georgia,2020-11-21T00:45:09.985364Z
13031,Bulloch,29793,20488,16,16,Other,99,30084,>98%,>98% reported,edison,10,unknown,,19275,,,18232,10846,715,,11643,8402,443,,2020-11-20T21:29:16Z,24.79106,R+25,Perdue +25,republican,georgia,2020-11-21T00:45:09.985364Z
13033,Burke,10560,7115,16,16,None,99,10684,>98%,>98% reported,edison,10,unknown,,6829,,,5407,4989,164,,3473,3541,101,,2020-11-20T01:37:50Z,3.95833,R+4,Perdue +4,republican,georgia,2020-11-21T00:45:09.985364Z
13035,Butts,11690,10446,1,1,Released as a precinct as first report of the night,99,11789,>98%,>98% reported,edison,10,unknown,,10779,,,8329,3129,215,17,7504,2756,186,0,2020-11-20T23:05:12Z,44.48246,R+44,Perdue +44,republican,georgia,2020-11-21T00:45:09.985364Z
13037,Calhoun,2172,1528,5,5,Merged into voters' home precincts and released with cumulative results,99,2194,>98%,>98% reported,edison,10,unknown,,1318,,,933,1211,28,,652,863,13,,2020-11-20T01:38:43Z,12.79926,D+13,Ossoff +13,democrat,georgia,2020-11-21T00:45:09.985364Z
13039,Camden,23349,18420,14,14,"As a precinct in the FIRST cumulative report, along with regular precincts",99,23688,>98%,>98% reported,edison,10,unknown,,14382,,,14987,7467,895,,11488,6321,611,,2020-11-20T21:30:11Z,32.20695,R+32,Perdue +32,republican,georgia,2020-11-21T00:45:09.985364Z
13043,Candler,4370,2250,1,1,Other,99,4432,>98%,>98% reported,edison,10,unknown,,3010,,,3077,1233,60,0,1508,715,27,0,2020-11-20T23:05:26Z,42.1968,R+42,Perdue +42,republican,georgia,2020-11-21T00:45:09.985364Z
13045,Carroll,53973,39627,28,28,None,99,54474,>98%,>98% reported,edison,10,unknown,,31790,,,36997,15549,1427,,26122,12579,926,,2020-11-20T21:33:11Z,39.73839,R+40,Perdue +40,republican,georgia,2020-11-21T00:45:09.985364Z
