fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13241,Rabun,9587,8146,1,1,Released as a precinct at the end of tabulation,100,9568,>98%,>98% reported,edison,6,unknown,,9325,,,7474,1984,110,19,6267,1785,82,12,2020-11-11T03:26:56Z,57.26505,R+57,Trump +57,republican,57.26505,7992,60.6,7463,56.21,georgia,2020-11-11T12:17:47.978392Z
13243,Randolph,3074,2342,6,6,Other,100,3074,>98%,>98% reported,edison,6,all,,2326,,,1391,1671,12,0,1070,1266,6,0,2020-11-11T03:26:52Z,9.10865,D+9,Biden +9,democrat,-9.10865,2899,-11.3,3058,-16.32,georgia,2020-11-11T12:17:47.978392Z
13245,Richmond,87016,65973,68,68,None,100,87016,>98%,>98% reported,edison,6,some,,59720,,,26781,59124,1111,0,18164,47128,681,0,2020-11-11T03:26:52Z,37.16903,D+37,Biden +37,democrat,-37.16903,76025,-32,79020,-33.81,georgia,2020-11-11T12:17:47.978392Z
13247,Rockdale,44686,38452,16,16,Released as a precinct as first report of the night,100,44686,>98%,>98% reported,edison,10,unknown,,42981,,,13012,31244,430,0,10471,27677,304,0,2020-11-11T03:26:53Z,40.80025,D+41,Biden +41,democrat,-40.80025,38087,-25.7,38085,-16.56,georgia,2020-11-11T12:17:47.978392Z
13249,Schley,2275,1901,1,1,Released as a precinct as first report of the night,100,2275,>98%,>98% reported,edison,10,unknown,,1795,,,1800,462,13,0,1495,397,9,0,2020-11-11T03:26:53Z,58.81319,R+59,Trump +59,republican,58.81319,1909,56.1,1748,47.94,georgia,2020-11-11T12:17:47.978392Z
13251,Screven,6642,4725,12,12,Other,100,6628,>98%,>98% reported,edison,10,unknown,,4550,,,3916,2661,51,14,2645,2053,27,0,2020-11-11T03:26:54Z,18.89491,R+19,Trump +19,republican,18.89491,5715,17.6,6100,8.41,georgia,2020-11-11T12:17:47.978392Z
13253,Seminole,3884,2631,4,5,Other,100,3884,>98%,>98% reported,edison,10,some,,2571,,,2611,1254,19,0,1667,960,4,0,2020-11-11T03:26:54Z,34.93821,R+35,Trump +35,republican,34.93821,3588,32.2,3769,20.35,georgia,2020-11-11T12:17:47.978392Z
13255,Spalding,30161,21294,18,18,None,100,30116,>98%,>98% reported,edison,6,all,,23630,,,18057,11784,275,45,12286,8858,130,20,2020-11-11T03:26:49Z,20.79838,R+21,Trump +21,republican,20.79838,25704,24.5,25088,19.98,georgia,2020-11-11T12:17:47.978392Z
13257,Stephens,11885,10323,1,1,Released as a separate subtotal as first report of the night,100,11885,>98%,>98% reported,edison,10,unknown,,9197,,,9368,2385,132,0,8130,2094,99,0,2020-11-11T03:26:49Z,58.75473,R+59,Trump +59,republican,58.75473,9815,59.6,9498,53.59,georgia,2020-11-11T12:17:47.978392Z
13259,Stewart,1990,1455,3,4,None,100,1990,>98%,>98% reported,edison,10,unknown,,1402,,,801,1182,7,0,567,883,5,0,2020-11-11T03:26:50Z,19.14573,D+19,Biden +19,democrat,-19.14573,2058,-20.3,2076,-27.84,georgia,2020-11-11T12:17:47.978392Z
13261,Sumter,12150,9442,11,11,Merged into voters' home precincts and released with cumulative results,100,12150,>98%,>98% reported,edison,10,some,,10757,,,5732,6318,100,0,4195,5173,74,0,2020-11-11T03:26:51Z,4.82305,D+5,Biden +5,democrat,-4.82305,10974,-2.2,11831,-8.43,georgia,2020-11-11T12:17:47.978392Z
13263,Talbot,3522,2507,7,7,Merged into voters' home precincts and released with cumulative results,100,3522,>98%,>98% reported,edison,10,unknown,,2304,,,1392,2114,16,0,927,1573,7,0,2020-11-11T03:26:51Z,20.49972,D+20,Biden +20,democrat,-20.49972,3246,-24.8,3491,-30.45,georgia,2020-11-11T12:17:47.978392Z
13265,Taliaferro,928,727,2,2,None,100,928,>98%,>98% reported,edison,10,unknown,,946,,,360,561,7,0,264,460,3,0,2020-11-11T03:26:51Z,21.65948,D+22,Biden +22,democrat,-21.65948,897,-21.9,963,-32.5,georgia,2020-11-11T12:17:47.978392Z
13267,Tattnall,8183,6201,8,8,Other,100,8183,>98%,>98% reported,edison,10,unknown,,5459,,,6053,2061,69,0,4517,1649,35,0,2020-11-11T03:26:49Z,48.78406,R+49,Trump +49,republican,48.78406,6903,49.5,6667,42.13,georgia,2020-11-11T12:17:47.978392Z
